,Name,Projection,Salary,Position,DPP
0,RobGronkowski,14.26,8100.0,TE,568.022440393
1,MartellusBennett,11.866,,,
2,JimmyGraham,11.2345,,,
3,TravisKelce,10.7875,6000.0,TE,556.199304751
4,AntonioGates,10.7775,5800.0,TE,538.158199954
5,DelanieWalker,10.265,5500.0,TE,535.801266439
6,GregOlsen,10.1425,6400.0,TE,631.008134089
7,ZachErtz,10.0255,5000.0,TE,498.72824298
8,CobyFleener,9.636,5100.0,TE,529.265255293
9,GaryBarnidge,9.594,5900.0,TE,614.967688138
10,TylerEifert,9.494,,,
11,CharlesClay,9.4615,,,
12,JasonWitten,8.9235,5600.0,TE,627.556452065
13,JordanReed,8.3965,5400.0,TE,643.125111654
14,JordanCameron,8.0325,5500.0,TE,684.718331777
15,JuliusThomas,7.6265,,,
16,JaredCook,7.435,5200.0,TE,699.394754539
17,KyleRudolph,7.1795,5000.0,TE,696.427327808
18,BenWatson,6.839,,,
19,LadariusGreen,6.795,5100.0,TE,750.55187638
20,MychalRivera,6.351,4900.0,TE,771.532042198
21,JacobTamme,6.1315,5100.0,TE,831.770366142
22,LarryDonnell,6.089,5200.0,TE,853.999014617
23,TimWright,5.8935,4500.0,TE,763.553066938
24,RichardRodgers,5.751,,,
25,EricEbron,5.7415,5100.0,TE,888.269615954
26,HeathMiller,5.716,5200.0,TE,909.727081875
27,LukeWillson,5.5645,,,
28,CrockettGillmore,5.52,5000.0,TE,905.797101449
29,ScottChandler,5.5135,4900.0,TE,888.72766845
30,ClayHarbor,5.4585,,,
31,VernonDavis,5.443,,,
32,DwayneAllen,5.2445,5000.0,TE,953.379731147
33,AnthonyFasano,5.1595,5000.0,TE,969.086151759
34,OwenDaniels,5.1505,,,
35,BrentCelek,4.992,4700.0,TE,941.506410256
36,MarcedesLewis,4.863,,,
37,DionSims,4.055,4900.0,TE,1208.38471023
38,AndrewQuarless,4.047,,,
39,GarrettGraham,4.035,4600.0,TE,1140.02478315
40,JeffCumberland,3.5665,4600.0,TE,1289.77989626
41,LanceKendricks,3.5115,4600.0,TE,1309.98148939
42,BrandonPettigrew,3.376,4500.0,TE,1332.93838863
43,JermaineGresham,3.2815,4500.0,TE,1371.32408959
44,DanielFells,3.091,4500.0,TE,1455.83953413
45,JimDray,3.033,4500.0,TE,1483.67952522
46,EdDickson,2.9795,4500.0,TE,1510.32052358
47,CraigStevens,2.9615,4500.0,TE,1519.50025325
48,JoshHill,2.8655,4700.0,TE,1640.20240796
49,JackDoyle,2.835,4500.0,TE,1587.3015873
50,LevineToilolo,2.833,4500.0,TE,1588.42216731
51,VirgilGreen,2.7475,,,
52,BrandonMyers,2.703,4500.0,TE,1664.81687014
53,JamesHanna,2.6865,4500.0,TE,1675.04187605
54,MattSpaeth,2.5845,4500.0,TE,1741.14915844
55,GavinEscobar,2.574,4500.0,TE,1748.25174825
56,VanceMcDonald,2.4395,,,
57,RhettEllison,2.3635,4500.0,TE,1903.95599746
58,DavidJohnson,2.356,4500.0,TE,1910.01697793
59,LeeSmith,2.2885,,,
60,ZachMiller,2.2605,,,
61,KellenDavis,2.1435,4500.0,TE,2099.37018894
62,MichaelHoomanawanui,2.1315,4600.0,TE,2158.10462116
63,JohnPhillips,2.0235,4500.0,TE,2223.86953299
64,RobertHousler,1.947,,,
65,BenjaminWatson,,5300.0,TE,
66,AustinSeferianJenkins,,5200.0,TE,
67,DerekCarrier,,4900.0,TE,
68,CJFiedorowicz,,4700.0,TE,
69,MaxxWilliams,,4600.0,TE,
70,JakeStoneburner,,4600.0,TE,
71,DarrenFells,,4600.0,TE,
72,ChaseFord,,4600.0,TE,
73,JosephFauria,,4600.0,TE,
74,JusticeCunningham,,4500.0,TE,
75,CoryHarkey,,4500.0,TE,
76,RobHousler,,4500.0,TE,
77,LukeStocker,,4500.0,TE,
78,CameronBrate,,4500.0,TE,
79,AlexBayer,,4500.0,TE,
80,LoganPaulsen,,4500.0,TE,
81,DeonButler,,4500.0,TE,
82,TreyBurton,,4500.0,TE,
83,EricFrohnapfel,,4500.0,TE,
84,BrandonWilliams,,4500.0,TE,
85,CliveWalford,,4500.0,TE,
86,JamesOShaughnessy,,4500.0,TE,
87,NickBoyle,,4500.0,TE,
88,MyColePruitt,,4500.0,TE,
89,KyleMiller,,4500.0,TE,
90,BrianParker,,4500.0,TE,
91,BrianLeonhardt,,4500.0,TE,
92,ErnstBrunJr,,4500.0,TE,
93,BrandonBostick,,4500.0,TE,
94,DavidPaulson,,4500.0,TE,
95,TaylorSloat,,4500.0,TE,
96,AnthonyEzeakunne,,4500.0,TE,
97,ChaseCoffman,,4500.0,TE,
98,EvanRodriguez,,4500.0,TE,
99,TroyNiklas,,4500.0,TE,
100,JesseJames,,4500.0,TE,
