"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"28900","RB","Melvin","Gordon","8.3","2","6700","SD@MIN","SD","MIN","","","",""
"34308","QB","Blake","Bortles","16.8","2","6700","JAC@NE","JAC","NE","","","",""
"6883","WR","Larry","Fitzgerald","22.5","2","6700","SF@ARI","ARI","SF","","","",""
"14339","RB","Dion","Lewis","17.4","2","6700","JAC@NE","NE","JAC","","","",""
"21970","RB","Doug","Martin","7.4","2","6600","TB@HOU","TB","HOU","","","",""
"6479","WR","Anquan","Boldin","10.3","2","6600","SF@ARI","SF","ARI","","","",""
"54684","RB","Isaiah","Crowell","8.8","2","6600","OAK@CLE","CLE","OAK","","","",""
"45859","QB","Derek","Carr","15.3","2","6600","OAK@CLE","OAK","CLE","","","",""
"28643","WR","Allen","Robinson","16.9","2","6600","JAC@NE","JAC","NE","","","",""
"31061","RB","T.J.","Yeldon","9","2","6600","JAC@NE","JAC","NE","","","",""
"22037","RB","Lamar","Miller","7.4","2","6600","BUF@MIA","MIA","BUF","Q","Ankle","",""
"21959","QB","Brandon","Weeden","7.6","1","6500","ATL@DAL","DAL","ATL","","","",""
"31261","RB","Tre","Mason","4","1","6500","PIT@STL","STL","PIT","","","",""
"7283","WR","Jeremy","Maclin","7.6","2","6500","KC@GB","KC","GB","P","Knee","",""
"27553","RB","Joseph","Randle","9.6","2","6500","ATL@DAL","DAL","ATL","","","",""
"8005","QB","Alex","Smith","15.2","2","6500","KC@GB","KC","GB","","","",""
"31836","WR","Terrance","Williams","12.5","2","6500","ATL@DAL","DAL","ATL","","","",""
"24920","RB","Devonta","Freeman","10.1","2","6500","ATL@DAL","ATL","DAL","","","",""
"22027","QB","Nick","Foles","14.5","2","6500","PIT@STL","STL","PIT","","","",""
"24849","QB","Jameis","Winston","17.4","2","6500","TB@HOU","TB","HOU","","","",""
"11609","RB","James","Starks","5.4","2","6500","KC@GB","GB","KC","","","",""
"6733","RB","Jonathan","Stewart","8.3","2","6500","NO@CAR","CAR","NO","Q","Knee","",""
"33076","TE","Travis","Kelce","16.7","2","6400","KC@GB","KC","GB","","","",""
"14288","WR","Torrey","Smith","12.3","2","6400","SF@ARI","SF","ARI","P","Knee","",""
"45889","WR","Davante","Adams","6.9","2","6400","KC@GB","GB","KC","Q","Ankle","",""
"9421","RB","Danny","Woodhead","16.6","2","6400","SD@MIN","SD","MIN","","","",""
"14267","QB","Ryan","Mallett","13.9","2","6300","TB@HOU","HOU","TB","","","",""
"30447","RB","Todd","Gurley","0","0","6300","PIT@STL","STL","PIT","P","Knee","",""
"11512","TE","Jimmy","Graham","7.9","2","6300","CHI@SEA","SEA","CHI","","","",""
"29991","RB","Bishop","Sankey","12.9","2","6300","IND@TEN","TEN","IND","","","",""
"7872","QB","Brian","Hoyer","10.4","1","6300","TB@HOU","HOU","TB","","","",""
"7806","RB","Darren","McFadden","5.1","2","6300","ATL@DAL","DAL","ATL","","","",""
"22003","RB","Ronnie","Hillman","3.8","2","6200","DEN@DET","DEN","DET","","","",""
"6566","RB","Chris","Johnson","5.5","2","6200","SF@ARI","ARI","SF","","","",""
"27776","RB","Tevin","Coleman","8.6","2","6200","ATL@DAL","ATL","DAL","NA","Ribs","",""
"6618","WR","Roddy","White","5.2","2","6100","ATL@DAL","ATL","DAL","","","",""
"6687","QB","Mark","Sanchez","16.7","9","6100","PHI@NYJ","PHI","NYJ","","","",""
"7660","RB","Fred","Jackson","5","2","6000","CHI@SEA","SEA","CHI","","","",""
"31561","WR","Donte","Moncrief","17.7","2","6000","IND@TEN","IND","TEN","","","",""
"27229","RB","Ameer","Abdullah","9.9","2","6000","DEN@DET","DET","DEN","","","",""
"6641","TE","Jason","Witten","15.6","2","6000","ATL@DAL","DAL","ATL","P","Ankle","",""
"54606","WR","John","Brown","9.8","2","6000","SF@ARI","ARI","SF","","","",""
"11419","RB","C.J.","Spiller","3.1","1","6000","NO@CAR","NO","CAR","","","",""
"8118","QB","Michael","Vick","-0.3","1","6000","PIT@STL","PIT","STL","","","",""
"11501","WR","Eric","Decker","15.2","2","6000","PHI@NYJ","NYJ","PHI","NA","Knee","",""
"62497","RB","David","Johnson","14.5","2","6000","SF@ARI","ARI","SF","","","",""
"9392","WR","Michael","Crabtree","13.9","2","6000","OAK@CLE","OAK","CLE","","","",""
"14626","WR","Doug","Baldwin","12.9","2","6000","CHI@SEA","SEA","CHI","","","",""
"6803","QB","Josh","McCown","2.3","1","6000","OAK@CLE","CLE","OAK","P","Concussion","",""
"7778","QB","Matt","Cassel","0","1","6000","ATL@DAL","DAL","ATL","","","",""
"6732","RB","DeAngelo","Williams","21.5","2","6000","PIT@STL","PIT","STL","","","",""
"21957","WR","Kendall","Wright","10.4","2","5900","IND@TEN","TEN","IND","","","",""
"7645","WR","Steve","Johnson","15.1","2","5900","SD@MIN","SD","MIN","","","",""
"11779","RB","LeGarrette","Blount","0.4","1","5900","JAC@NE","NE","JAC","","","",""
"33557","TE","Tyler","Eifert","19.9","2","5900","CIN@BAL","CIN","BAL","","","",""
"6914","TE","Greg","Olsen","5.8","2","5900","NO@CAR","CAR","NO","","","",""
"7844","QB","Chad","Henne","10.4","3","5900","JAC@NE","JAC","NE","","","",""
"6580","TE","Heath","Miller","11.5","2","5800","PIT@STL","PIT","STL","","","",""
"6607","WR","Mike","Wallace","7.3","2","5800","SD@MIN","MIN","SD","","","",""
"11712","RB","Joique","Bell","4","2","5800","DEN@DET","DET","DEN","","","",""
"14283","WR","Leonard","Hankerson","9.7","2","5700","ATL@DAL","ATL","DAL","","","",""
"27441","RB","Damien","Williams","5.2","2","5700","BUF@MIA","MIA","BUF","","","",""
"7222","WR","James","Jones","14.3","2","5700","KC@GB","GB","KC","","","",""
"7053","QB","Matt","Flynn","-0.2","7","5700","PHI@NYJ","NYJ","PHI","","","",""
"22163","WR","Rishard","Matthews","13","2","5700","BUF@MIA","MIA","BUF","","","",""
"21994","QB","Brock","Osweiler","1.5","4","5600","DEN@DET","DEN","DET","","","",""
"6448","TE","Martellus","Bennett","10.4","2","5600","CHI@SEA","CHI","SEA","","","",""
"54612","RB","Lorenzo","Taliaferro","12.1","1","5600","CIN@BAL","BAL","CIN","P","Foot","",""
"31421","QB","Zach","Mettenberger","-0.5","1","5600","IND@TEN","TEN","IND","","","",""
"14905","WR","Kamar","Aiken","4.9","2","5600","CIN@BAL","BAL","CIN","","","",""
"25837","RB","Duke","Johnson","3.3","2","5600","OAK@CLE","CLE","OAK","","","",""
"31871","RB","Charles","Sims","5.6","2","5600","TB@HOU","TB","HOU","","","",""
"6704","WR","Percy","Harvin","12.4","2","5600","BUF@MIA","BUF","MIA","P","Hip","",""
"22047","TE","Ladarius","Green","11.6","2","5600","SD@MIN","SD","MIN","Q","Concussion","",""
"22035","WR","Travis","Benjamin","23.7","2","5600","OAK@CLE","CLE","OAK","","","",""
"54608","RB","Jerick","McKinnon","2.2","2","5500","SD@MIN","MIN","SD","","","",""
"11425","RB","Ryan","Mathews","5.2","2","5500","PHI@NYJ","PHI","NYJ","","","",""
"24949","QB","E.J.","Manuel","12.3","5","5500","BUF@MIA","BUF","MIA","","","",""
"28677","QB","Matt","McGloin","10.7","1","5500","OAK@CLE","OAK","CLE","","","",""
"8803","QB","Chase","Daniel","2.6","3","5400","KC@GB","KC","GB","","","",""
"6535","WR","Kenny","Britt","8.1","2","5400","PIT@STL","STL","PIT","","","",""
