"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16606","WR","DeAndre","Hopkins","21.8","6","9200","HOU@MIA","HOU","MIA","","","",""
"14190","WR","Julio","Jones","19.7","6","9100","ATL@TEN","ATL","TEN","","","",""
"6498","QB","Tom","Brady","25.5","5","9000","NYJ@NE","NE","NYJ","","","",""
"31360","WR","Odell","Beckham Jr.","15.4","6","9000","DAL@NYG","NYG","DAL","Q","Hamstring","",""
"28181","RB","Le'Veon","Bell","19.2","4","8900","PIT@KC","PIT","KC","","","",""
"21939","QB","Andrew","Luck","18.9","4","8900","NO@IND","IND","NO","P","Shoulder","",""
"6703","RB","Adrian","Peterson","14.6","5","8900","MIN@DET","MIN","DET","Q","Finger","",""
"24920","RB","Devonta","Freeman","26","6","8700","ATL@TEN","ATL","TEN","","","",""
"10777","RB","Arian","Foster","13","3","8600","HOU@MIA","HOU","MIA","P","Groin","",""
"6589","QB","Ben","Roethlisberger","16.8","3","8400","PIT@KC","PIT","KC","Q","Knee","",""
"6655","WR","Calvin","Johnson","13","6","8400","MIN@DET","DET","MIN","","","",""
"6504","QB","Drew","Brees","17.2","5","8400","NO@IND","NO","IND","","","",""
"11435","WR","Dez","Bryant","7.3","1","8300","DAL@NYG","DAL","NYG","D","Foot","",""
"11612","WR","Antonio","Brown","14.8","6","8300","PIT@KC","PIT","KC","","","",""
"6748","QB","Carson","Palmer","20.2","6","8200","BAL@ARI","ARI","BAL","","","",""
"6759","WR","Brandon","Marshall","17.9","5","8200","NYJ@NE","NYJ","NE","Q","Calf","",""
"14185","QB","Cam","Newton","21.9","5","8100","PHI@CAR","CAR","PHI","","","",""
"6616","QB","Matt","Ryan","16.5","6","8100","ATL@TEN","ATL","TEN","","","",""
"29253","WR","Keenan","Allen","17.1","6","8100","OAK@SD","SD","OAK","Q","Hip","",""
"11460","TE","Rob","Gronkowski","16.8","5","8100","NYJ@NE","NE","NYJ","","","",""
"7968","QB","Philip","Rivers","20.6","6","8000","OAK@SD","SD","OAK","","","",""
"7859","WR","Julian","Edelman","18.2","5","8000","NYJ@NE","NE","NYJ","","","",""
"11864","RB","Christopher","Ivory","19.8","4","7800","NYJ@NE","NYJ","NE","","","",""
"6826","QB","Eli","Manning","17.9","6","7800","DAL@NYG","NYG","DAL","","","",""
"6883","WR","Larry","Fitzgerald","19","6","7800","BAL@ARI","ARI","BAL","P","Personal","",""
"21948","QB","Ryan","Tannehill","17","5","7700","HOU@MIA","MIA","HOU","","","",""
"11414","QB","Sam","Bradford","15","6","7700","PHI@CAR","PHI","CAR","","","",""
"22031","WR","T.Y.","Hilton","11.4","6","7700","NO@IND","IND","NO","","","",""
"14211","RB","Mark","Ingram","14.9","6","7600","NO@IND","NO","IND","","","",""
"14254","RB","DeMarco","Murray","14.3","5","7600","PHI@CAR","PHI","CAR","","","",""
"32384","WR","Mike","Evans","6","4","7500","TB@WAS","TB","WAS","","","",""
"6714","QB","Joe","Flacco","16.6","6","7500","BAL@ARI","BAL","ARI","","","",""
"6654","QB","Matthew","Stafford","16.5","6","7400","MIN@DET","DET","MIN","","","",""
"30447","RB","Todd","Gurley","11.6","3","7400","CLE@STL","STL","CLE","","","",""
"31001","WR","Amari","Cooper","12.6","5","7300","OAK@SD","OAK","SD","","","",""
"21970","RB","Doug","Martin","15.5","5","7200","TB@WAS","TB","WAS","","","",""
"7659","QB","Ryan","Fitzpatrick","18.1","5","7100","NYJ@NE","NYJ","NE","P","Elbow","",""
"31394","WR","Jarvis","Landry","13.6","5","7100","HOU@MIA","MIA","HOU","","","",""
"6840","RB","Frank","Gore","11","6","7100","NO@IND","IND","NO","","","",""
"6857","RB","Justin","Forsett","12.7","6","7100","BAL@ARI","BAL","ARI","P","Ankle","",""
"29358","QB","Marcus","Mariota","16","5","7000","ATL@TEN","TEN","ATL","O","Knee","",""
"34331","RB","Latavius","Murray","12.8","5","7000","OAK@SD","OAK","SD","P","Shoulder","",""
"14339","RB","Dion","Lewis","14.9","5","7000","NYJ@NE","NE","NYJ","Q","Abdomen","",""
"6566","RB","Chris","Johnson","10.8","6","6900","BAL@ARI","ARI","BAL","","","",""
"7283","WR","Jeremy","Maclin","13.1","6","6900","PIT@KC","KC","PIT","Q","Concussion","",""
"24675","WR","Martavis","Bryant","29.5","1","6900","PIT@KC","PIT","KC","","","",""
"6803","QB","Josh","McCown","18.1","5","6900","CLE@STL","CLE","STL","","","",""
"7872","QB","Brian","Hoyer","18.2","4","6900","HOU@MIA","HOU","MIA","","","",""
"6735","WR","Steve","Smith","17.4","5","6900","BAL@ARI","BAL","ARI","","","",""
"11779","RB","LeGarrette","Blount","14.6","4","6800","NYJ@NE","NE","NYJ","","","",""
"27553","RB","Joseph","Randle","13.3","5","6800","DAL@NYG","DAL","NYG","","","",""
"8005","QB","Alex","Smith","16","6","6800","PIT@KC","KC","PIT","P","Thumb","",""
"7953","WR","Vincent","Jackson","10.9","5","6800","TB@WAS","TB","WAS","","","",""
"29501","WR","Brandin","Cooks","9.5","6","6700","NO@IND","NO","IND","","","",""
"45859","QB","Derek","Carr","14.9","5","6700","OAK@SD","OAK","SD","","","",""
"54606","WR","John","Brown","12.9","6","6700","BAL@ARI","ARI","BAL","Q","Hamstring","",""
"11485","WR","Golden","Tate","8.6","6","6700","MIN@DET","DET","MIN","","","",""
"6733","RB","Jonathan","Stewart","9.6","5","6700","PHI@CAR","CAR","PHI","","","",""
"22037","RB","Lamar","Miller","9.1","5","6700","HOU@MIA","MIA","HOU","","","",""
"33259","QB","Teddy","Bridgewater","11.7","5","6600","MIN@DET","MIN","DET","","","",""
"30837","WR","Jordan","Matthews","10.1","6","6600","PHI@CAR","PHI","CAR","","","",""
"22035","WR","Travis","Benjamin","16.1","6","6600","CLE@STL","CLE","STL","","","",""
"31561","WR","Donte","Moncrief","12.3","6","6500","NO@IND","IND","NO","","","",""
