,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
0,AntonioBrown,19.5701778629,20.0006360787,10.3946657449,10.8961011856,0.0,11.0,5.0,4.0,4.0,4.0,1,1,0
1,DemaryiusThomas,18.1633684051,18.3875153405,8.98785628704,9.2829804474,0.0,7.0,11.0,9.0,12.0,9.0,4,2,2
5,RandallCobb,15.7291868025,17.9634826716,6.5536746844,8.85894777851,0.0,7.0,22.0,15.0,20.0,19.0,7,3,4
6,JulioJones,15.4384479026,17.5614775496,6.26293578454,8.45694265649,0.0,10.0,10.0,6.0,7.0,10.0,3,4,-1
2,DezBryant,17.3073983542,17.4714995772,8.13188623618,8.36696468405,0.0,6.0,8.0,7.0,9.0,6.0,2,5,-3
3,JordyNelson,17.0712238698,17.431822599,7.89571175174,8.32728770587,,,,,,,55,6,49
4,AlshonJeffery,15.7621666378,17.187528778,6.58665451975,8.08299388485,0.0,7.0,23.0,22.0,24.0,21.0,8,7,1
7,EmmanuelSanders,15.1993283704,16.2876301017,6.02381625235,7.18309520859,0.0,7.0,36.0,31.0,31.0,28.0,11,8,3
8,CalvinJohnson,14.987152974,15.4089658438,5.81164085598,6.30443095068,0.0,9.0,15.0,12.0,15.0,15.0,5,9,-4
9,AJGreen,14.4455728511,14.7939489928,5.27006073306,5.68941409966,0.0,7.0,19.0,17.0,18.0,17.0,6,10,-4
10,TYHilton,14.2259564477,14.7211128036,5.05044432959,5.61657791045,0.0,10.0,27.0,24.0,23.0,23.0,9,11,-2
12,GoldenTate,13.4818607131,14.4659899095,4.30634859507,5.36145501642,0.0,9.0,53.0,45.0,43.0,48.0,15,12,3
11,JulianEdelman,13.7920983526,14.0413276841,4.61658623456,4.93679279096,0.0,4.0,46.0,40.0,47.0,49.0,12,13,-1
13,BrandonMarshall,13.0343980102,13.236230432,3.8588858921,4.13169553887,0.0,5.0,57.0,50.0,62.0,58.0,16,14,2
14,DeSeanJackson,12.8388738075,13.2131181274,3.66336168948,4.1085832343,0.0,8.0,63.0,75.0,61.0,54.0,17,15,2
27,JoshGordon,11.000899255,12.9644453227,1.82538713691,3.85991042958,0.0,11.0,228.0,,,342.0,49,16,33
