,Name,Projection,Salary,Position,DPP
0,OdellBeckhamJr,16.1345,9100,WR,564.008801016
1,KeenanAllen,15.335,7000,WR,456.472122595
2,DemaryiusThomas,15.275,8100,WR,530.278232406
3,JulioJones,14.8545,9300,WR,626.0729072
4,RandallCobb,13.906,7400,WR,532.144398102
5,AJGreen,13.2465,7600,WR,573.736458687
6,TYHilton,13.211,6700,WR,507.153129967
7,DezBryant,13.187,8200,WR,621.824524153
8,DeAndreHopkins,13.0225,7300,WR,560.568247264
9,EmmanuelSanders,12.983,7700,WR,593.083262728
10,JordanMatthews,12.9775,6600,WR,508.572529378
11,AlshonJeffery,12.5165,6600,WR,527.303958774
12,MikeEvans,12.261,6400,WR,521.980262621
13,DonteMoncrief,12.047,5000,WR,415.041089068
14,LarryFitzgerald,11.638,6500,WR,558.515208799
15,PercyHarvin,11.5645,4600,WR,397.769034545
16,AndreJohnson,11.354,4500,WR,396.336093007
17,AllenRobinson,11.132,5500,WR,494.071146245
18,RuebenRandle,11.0955,4500,WR,405.569825605
19,TorreySmith,10.954,4600,WR,419.93792222
20,BrandinCooks,10.709,6100,WR,569.614343076
21,DeSeanJackson,10.5095,5800,WR,551.881630905
22,RoddyWhite,10.369,4000,WR,385.765261838
23,EddieRoyal,9.978,3700,WR,370.815794748
24,JeremyMaclin,9.9555,5800,WR,582.592536789
25,SammyWatkins,9.7615,5600,WR,573.682323413
26,MikeWallace,9.488,4400,WR,463.743676223
27,DavanteAdams,9.0115,4700,WR,521.555789824
28,VincentJackson,8.9245,4900,WR,549.050366967
29,TavonAustin,8.9155,3700,WR,415.007571084
30,AnquanBoldin,8.8735,4800,WR,540.936496309
31,MichaelFloyd,8.826,3300,WR,373.895309313
32,PierreGarcon,8.7085,5300,WR,608.600792329
33,NateWashington,8.674,3500,WR,403.50472677
34,MarquesColston,8.45,4500,WR,532.544378698
35,MichaelCrabtree,8.4095,4600,WR,547.000416196
36,TravisBenjamin,8.314,4500,WR,541.255713255
37,StedmanBailey,8.042,3000,WR,373.041531957
38,MarvinJones,7.9635,3800,WR,477.177120613
39,RobertWoods,7.8775,3100,WR,393.525864805
40,JohnBrown,7.8605,5100,WR,648.813688697
41,KennyBritt,7.6365,4200,WR,549.990178747
42,AndreHolmes,7.576,3000,WR,395.987328405
43,AllenHurns,7.519,3900,WR,518.685995478
44,JamesJones,7.4255,5300,WR,713.756649384
45,LouisMurphy,7.4155,3200,WR,431.528555054
46,ColeBeasley,7.3375,3300,WR,449.744463373
47,MalcomFloyd,7.3045,3700,WR,506.537066192
48,JariusWright,7.275,3000,WR,412.371134021
49,LeonardHankerson,7.264,3700,WR,509.36123348
50,TaylorGabriel,7.175,3000,WR,418.118466899
51,DwayneBowe,6.9365,3300,WR,475.744251424
52,MarqiseLee,6.908,3000,WR,434.279096699
53,CharlesJohnson,6.8545,3600,WR,525.202421767
54,MilesAustin,6.816,3000,WR,440.14084507
55,TerranceWilliams,6.7265,4500,WR,668.995763027
56,BrianHartline,6.4535,3200,WR,495.854962423
57,AndrewHawkins,6.33,3000,WR,473.933649289
58,TedGinnJr,6.25,3400,WR,544.0
59,ChrisHogan,6.241,3200,WR,512.738343214
60,JordanNorwood,5.8555,3000,WR,512.338826744
61,MarquessWilson,5.839,3000,WR,513.786607296
62,RileyCooper,5.4635,3000,WR,549.098563192
63,DevinHester,5.386,3000,WR,556.999628667
64,AndreRoberts,5.368,3000,WR,558.867362146
65,JerrichoCotchery,4.961,3100,WR,624.874017335
66,MohamedSanu,4.788,3100,WR,647.451963241
67,ChrisGivens,4.478,3000,WR,669.941938365
68,BrandonTate,4.3385,3000,WR,691.483231532
69,SeyiAjirotutu,3.2725,3000,WR,916.730328495
