,Name,Projection,Salary,Position,DPP
0,MattRyan,18.881,6900,QB,365.446745405
1,CarsonPalmer,18.2935,6800,QB,371.716729986
2,CamNewton,17.949,7000,QB,389.993871525
3,AaronRodgers,17.5775,7900,QB,449.438202247
4,SamBradford,16.5075,6000,QB,363.471149478
5,DrewBrees,16.4915,7400,QB,448.716005215
6,MarkSanchez,16.2565,5000,QB,307.56927998
7,PeytonManning,16.025,7200,QB,449.297971919
8,AndrewLuck,15.9365,7800,QB,489.442474822
9,EliManning,15.914,7000,QB,439.864270454
10,NickFoles,15.3655,5100,QB,331.912401158
11,ColinKaepernick,14.816,5500,QB,371.220302376
12,DerekCarr,14.7945,5300,QB,358.241238298
13,AlexSmith,14.7465,5600,QB,379.751127386
14,AndyDalton,14.403,5900,QB,409.636881205
15,PhilipRivers,14.3845,6100,QB,424.067572735
16,RobertGriffinIII,13.979,5300,QB,379.14013878
17,TeddyBridgewater,13.712,5700,QB,415.69428238
18,BlakeBortles,13.702,5100,QB,372.208436725
19,JayCutler,13.67,5500,QB,402.340892465
20,TyrodTaylor,12.9955,5800,QB,446.308337501
21,ShaunHill,12.919,5000,QB,387.026859664
22,KirkCousins,11.8615,5400,QB,455.25439447
23,BrianHoyer,11.1755,5000,QB,447.407274842
24,BrandonWeeden,9.054,5100,QB,563.286944997
25,ChaseDaniel,8.192,5000,QB,610.3515625
26,JimmyClausen,7.955,5000,QB,628.535512256
27,MattHasselbeck,6.6655,5000,QB,750.131272973
28,JoshMcCown,6.627,5100,QB,769.57899502
29,BrockOsweiler,5.393,5000,QB,927.127758205
