,Name,Projection,Salary,Position,DPP
0,LeVeonBell,18.18,8800,RB,484.04840484
1,MattForte,16.603,8400,RB,505.932662772
2,DeMarcoMurray,16.1935,7800,RB,481.67474604
3,AdrianPeterson,14.452,8900,RB,615.831718793
4,ArianFoster,14.42,8200,RB,568.654646325
5,EddieLacy,13.901,7700,RB,553.91698439
6,MarshawnLynch,13.661,8700,RB,636.849425371
7,JamaalCharles,13.426,8700,RB,647.996424847
8,MarkIngram,13.1065,7900,RB,602.754358524
9,GiovaniBernard,12.993,7200,RB,554.144539367
10,JustinForsett,12.6025,7200,RB,571.315215235
11,AndreEllington,12.3145,7000,RB,568.435584068
12,LeSeanMcCoy,12.259,7500,RB,611.795415613
13,DeAngeloWilliams,11.0685,6000,RB,542.078872476
14,DannyWoodhead,11.03,6400,RB,580.235720762
15,LamarMiller,10.6165,6600,RB,621.673809636
16,FrankGore,10.332,7000,RB,677.506775068
17,DarrenSproles,9.9485,5400,RB,542.795396291
18,JonathanStewart,9.9455,6500,RB,653.561912423
19,DougMartin,9.702,6600,RB,680.272108844
20,ChrisJohnson,8.8925,6200,RB,697.216755693
21,RonnieHillman,8.738,6200,RB,709.544518196
22,ReggieBush,8.267,5300,RB,641.103181323
23,RyanMathews,8.205,5500,RB,670.322973796
24,DonaldBrown,8.1525,4500,RB,551.977920883
25,JoiqueBell,8.122,5800,RB,714.109825166
26,FredJackson,8.0645,6000,RB,744.001488003
27,DexterMcCluster,7.9585,5400,RB,678.519821574
28,JosephRandle,7.8735,6500,RB,825.554073792
29,JamesStarks,7.805,6500,RB,832.799487508
30,MattAsiata,7.755,4900,RB,631.850419084
31,BennyCunningham,7.421,5400,RB,727.664735211
32,RoyHelu,7.2325,5400,RB,746.629796059
33,BilalPowell,7.1475,5200,RB,727.52710738
34,DarrenMcFadden,7.052,6300,RB,893.363584799
35,ZacStacy,6.856,4800,RB,700.116686114
36,LeGarretteBlount,6.6,5900,RB,893.939393939
37,KnileDavis,6.24,5400,RB,865.384615385
38,BryceBrown,5.9725,5000,RB,837.170364169
39,LanceDunbar,5.9255,4900,RB,826.934435913
40,TheoRiddick,5.743,4700,RB,818.387602298
41,MarcelReece,5.6965,4800,RB,842.622663039
42,KhiryRobinson,5.563,4900,RB,880.8197016
43,BobbyRainey,5.4745,4800,RB,876.792401133
44,RobertTurbin,5.474,4700,RB,858.60431129
45,JordanTodman,5.001,4700,RB,939.812037592
46,DenardRobinson,4.5175,5400,RB,1195.35141118
47,StepfanTaylor,4.392,4500,RB,1024.59016393
48,CJSpiller,4.2905,6000,RB,1398.43841044
49,AnthonyDixon,4.206,4500,RB,1069.90014265
50,BrandonBolden,4.1415,4900,RB,1183.14620307
51,BruceMiller,3.8905,4500,RB,1156.66366791
52,TobyGerhart,3.883,4800,RB,1236.1576101
53,MikeTolbert,3.634,4800,RB,1320.85855806
54,CedricPeerman,2.759,4500,RB,1631.02573396
55,JacquizzRodgers,2.686,4500,RB,1675.35368578
56,BernardPierce,2.33,4500,RB,1931.3304721
57,JohnConner,1.892,4500,RB,2378.43551797
58,JohnKuhn,1.6205,4500,RB,2776.92070349
59,ErikLorig,1.241,4500,RB,3626.10797744
