,Name,Projection,Salary,Position,DPP
0,CJAnderson,15.806,6600,RB,417.562950778
1,DeMarcoMurray,14.8715,7400,RB,497.596073026
2,MattForte,14.59,8400,RB,575.736806032
3,MarkIngram,14.08,8000,RB,568.181818182
4,JamaalCharles,13.9275,9100,RB,653.38359361
5,AndreEllington,13.8445,5900,RB,426.162013796
6,MarshawnLynch,13.498,8600,RB,637.131426878
7,LataviusMurray,13.0695,7000,RB,535.598148361
8,LeSeanMcCoy,12.848,7300,RB,568.181818182
9,JeremyHill,12.643,6800,RB,537.847029977
10,JustinForsett,12.364,7200,RB,582.335813653
11,GiovaniBernard,11.775,6600,RB,560.50955414
12,AlfredMorris,11.727,6300,RB,537.221795856
13,DeAngeloWilliams,11.4315,5300,RB,463.631194506
14,EddieLacy,11.0525,7600,RB,687.627233658
15,DannyWoodhead,10.7435,6000,RB,558.477218783
16,RashadJennings,10.145,6200,RB,611.138491868
17,CarlosHyde,10.0125,7000,RB,699.126092385
18,TreMason,9.9325,5300,RB,533.601812233
19,JamesStarks,8.983,5600,RB,623.399755093
20,RonnieHillman,8.9295,6600,RB,739.123131194
21,DexterMcCluster,8.664,5300,RB,611.726685134
22,IsaiahCrowell,8.663,6100,RB,704.144060949
23,DarrenSproles,8.6505,5700,RB,658.921449627
24,DionLewis,8.394,6900,RB,822.015725518
25,DougMartin,8.3335,6400,RB,767.984640307
26,ShaneVereen,8.2695,5600,RB,677.187254368
27,BennyCunningham,8.241,5400,RB,655.260283946
28,DevontaFreeman,8.165,7600,RB,930.802204532
29,ChrisJohnson,8.0375,7000,RB,870.917573872
30,JoiqueBell,8.013,5500,RB,686.384624984
31,JosephRandle,7.8895,7400,RB,937.955510489
32,RyanMathews,7.7305,5400,RB,698.531789664
33,BishopSankey,7.6725,5400,RB,703.812316716
34,KhiryRobinson,7.4795,4800,RB,641.75412795
35,AndreWilliams,7.016,5400,RB,769.669327252
36,LorenzoTaliaferro,6.9535,5100,RB,733.443589559
37,DarrenMcFadden,6.8985,6000,RB,869.754294412
38,FredJackson,6.6955,6100,RB,911.05966694
39,TheoRiddick,6.629,5000,RB,754.261577915
40,ReggieBush,6.295,5300,RB,841.938046068
41,TerranceWest,5.394,4900,RB,908.416759362
42,MarcelReece,5.292,4800,RB,907.029478458
43,KnileDavis,5.127,5400,RB,1053.24751317
44,LeGarretteBlount,5.0915,6200,RB,1217.71580084
45,CJSpiller,4.9005,5500,RB,1122.33445567
46,AnthonyDixon,4.769,4500,RB,943.594044873
47,JordanTodman,4.684,4700,RB,1003.41588386
48,BrandenOliver,4.5635,4700,RB,1029.91125233
49,BobbyRainey,4.5025,4600,RB,1021.65463631
50,IsaiahPead,4.135,4900,RB,1185.00604595
51,BruceMiller,3.7195,4500,RB,1209.84003226
52,BrandonBolden,3.6175,4900,RB,1354.52660677
53,ShaunDraughn,3.4455,4500,RB,1306.05137135
54,TravarisCadet,3.0565,4500,RB,1472.27220677
55,JacquizzRodgers,3.046,4500,RB,1477.34734077
56,BernardPierce,2.546,4500,RB,1767.47839749
57,KyleJuszczyk,2.1665,4500,RB,2077.08285253
58,DarrelYoung,1.678,4500,RB,2681.76400477
59,JorvorskieLane,1.557,4500,RB,2890.1734104
