,Name,Salary,Position
4,AdrianPeterson,8900,RB
5,LeVeonBell,8800,RB
7,MarshawnLynch,8700,RB
8,JamaalCharles,8700,RB
14,MattForte,8400,RB
18,ArianFoster,8200,RB
27,MarkIngram,7900,RB
29,DeMarcoMurray,7800,RB
30,CarlosHyde,7800,RB
33,EddieLacy,7700,RB
36,JeremyHill,7600,RB
39,LeSeanMcCoy,7500,RB
44,CJAnderson,7300,RB
45,GiovaniBernard,7200,RB
48,JustinForsett,7200,RB
51,ChristopherIvory,7100,RB
55,AndreEllington,7000,RB
56,FrankGore,7000,RB
57,LataviusMurray,7000,RB
66,MelvinGordon,6700,RB
69,DionLewis,6700,RB
70,DougMartin,6600,RB
72,IsaiahCrowell,6600,RB
75,TJYeldon,6600,RB
76,LamarMiller,6600,RB
78,TreMason,6500,RB
80,JosephRandle,6500,RB
83,DevontaFreeman,6500,RB
86,JamesStarks,6500,RB
87,JonathanStewart,6500,RB
91,DannyWoodhead,6400,RB
93,ToddGurley,6300,RB
95,BishopSankey,6300,RB
97,DarrenMcFadden,6300,RB
98,RonnieHillman,6200,RB
99,ChrisJohnson,6200,RB
100,TevinColeman,6200,RB
103,FredJackson,6000,RB
105,AmeerAbdullah,6000,RB
108,CJSpiller,6000,RB
111,DavidJohnson,6000,RB
116,DeAngeloWilliams,6000,RB
119,LeGarretteBlount,5900,RB
125,JoiqueBell,5800,RB
127,DamienWilliams,5700,RB
133,LorenzoTaliaferro,5600,RB
136,DukeJohnson,5600,RB
137,CharlesSims,5600,RB
141,JerickMcKinnon,5500,RB
142,RyanMathews,5500,RB
149,StevanRidley,5400,RB
152,RoyHelu,5400,RB
153,KnileDavis,5400,RB
154,DexterMcCluster,5400,RB
155,BennyCunningham,5400,RB
157,DarrenSproles,5400,RB
162,DenardRobinson,5400,RB
163,JavoriusAllen,5300,RB
167,ReggieBush,5300,RB
171,CameronArtisPayne,5300,RB
172,TerranceWest,5300,RB
174,AlfredBlue,5300,RB
178,JoshHarris,5300,RB
180,ChrisPolk,5300,RB
182,KarlosWilliams,5300,RB
187,DavidCobb,5200,RB
190,BilalPowell,5200,RB
195,JayAjayi,5200,RB
199,TerrenceFranks,5200,RB
206,MonteeBall,5200,RB
211,DriArcher,5100,RB
212,MichaelDyer,5100,RB
219,KaDeemCarey,5100,RB
230,JamesWhite,5000,RB
233,BryceBrown,5000,RB
237,AlonzoHarris,5000,RB
243,IsaiahPead,4900,RB
246,BrandonBolden,4900,RB
248,StormJohnson,4900,RB
249,JoshRobinson,4900,RB
251,FoswhittWhittaker,4900,RB
256,MattAsiata,4900,RB
257,LanceDunbar,4900,RB
260,KhiryRobinson,4900,RB
269,BobbyRainey,4800,RB
278,JonasGray,4800,RB
279,TobyGerhart,4800,RB
282,MarcelReece,4800,RB
283,MikeTolbert,4800,RB
295,ZacStacy,4800,RB
298,JeremyLangford,4700,RB
301,BrandenOliver,4700,RB
321,TheoRiddick,4700,RB
327,JordanTodman,4700,RB
329,RobertTurbin,4700,RB
333,KendallHunter,4600,RB
346,VickBallard,4600,RB
357,LaMichaelJames,4500,RB
358,AntonioAndrews,4500,RB
364,TerrellWatson,4500,RB
365,DerrickColeman,4500,RB
366,MikeDavis,4500,RB
369,MarcusMurphy,4500,RB
377,LaVanceTaylor,4500,RB
380,RyanWilliams,4500,RB
383,ChaseReynolds,4500,RB
384,TreyMillard,4500,RB
387,TerronWard,4500,RB
390,RexBurkhead,4500,RB
393,DominiqueBrown,4500,RB
404,JonathanGrimes,4500,RB
409,BraylonHeard,4500,RB
417,ShaunDraughn,4500,RB
421,BronsonHill,4500,RB
426,KenjonBarner,4500,RB
435,JohnKuhn,4500,RB
436,ChristineMichael,4500,RB
437,TonyCreecy,4500,RB
443,JoeyIosefa,4500,RB
448,GusJohnson,4500,RB
449,JuwanThompson,4500,RB
456,MikeJames,4500,RB
458,ZachZenner,4500,RB
459,DreamiusSmith,4500,RB
471,JarrydHayne,4500,RB
475,KyleJuszczyk,4500,RB
478,TommyBohanon,4500,RB
480,PatrickDiMarco,4500,RB
481,KendallGaskins,4500,RB
483,MalcolmBrown,4500,RB
485,JawonChisholm,4500,RB
494,MarkWeisman,4500,RB
499,ZachLaskey,4500,RB
501,ErikLorig,4500,RB
504,JeremyStewart,4500,RB
508,TimHightower,4500,RB
509,TravarisCadet,4500,RB
511,JorvorskieLane,4500,RB
521,BradSmelley,4500,RB
527,RickySeale,4500,RB
528,DonaldBrown,4500,RB
536,JohnConner,4500,RB
538,BruceMiller,4500,RB
540,StepfanTaylor,4500,RB
541,BernardPierce,4500,RB
542,AnthonyDixon,4500,RB
545,GlennWinston,4500,RB
558,JacquizzRodgers,4500,RB
559,CedricPeerman,4500,RB
