,Name,Salary,Position
9,RobGronkowski,8400,TE
64,JimmyGraham,6600,TE
65,TravisKelce,6500,TE
99,MartellusBennett,5900,TE
111,JasonWitten,5700,TE
113,JordanReed,5700,TE
119,CharlesClay,5700,TE
125,TylerEifert,5600,TE
129,HeathMiller,5500,TE
132,AntonioGates,5500,TE
140,GaryBarnidge,5400,TE
147,DelanieWalker,5400,TE
166,JuliusThomas,5200,TE
171,AustinSeferianJenkins,5200,TE
174,LarryDonnell,5200,TE
176,JaredCook,5200,TE
180,EricEbron,5100,TE
181,CrockettGillmore,5100,TE
183,RichardRodgers,5100,TE
193,LadariusGreen,5100,TE
217,AnthonyFasano,5000,TE
218,ZachErtz,5000,TE
225,ScottChandler,4900,TE
231,MychalRivera,4900,TE
232,VernonDavis,4900,TE
233,OwenDaniels,4900,TE
240,MaxxWilliams,4800,TE
251,JermaineGresham,4800,TE
257,JoshHill,4800,TE
268,AndrewQuarless,4800,TE
279,MarcedesLewis,4700,TE
283,JacobTamme,4700,TE
284,ClayHarbor,4700,TE
286,BrentCelek,4700,TE
293,LanceKendricks,4600,TE
298,DarrenFells,4600,TE
299,VanceMcDonald,4600,TE
304,JosephFauria,4600,TE
305,BenjaminWatson,4600,TE
309,MichaelHoomanawanui,4600,TE
310,VirgilGreen,4600,TE
312,DavidJohnson,4500,TE
313,RoryAnderson,4500,TE
316,JoeDonDuncan,4500,TE
324,JusticeCunningham,4500,TE
326,CoryHarkey,4500,TE
327,CraigStevens,4500,TE
329,MattSpaeth,4500,TE
340,MarQueisGray,4500,TE
341,DerekCarrier,4500,TE
348,CooperHelfet,4500,TE
352,RobHousler,4500,TE
356,LukeStocker,4500,TE
359,CameronBrate,4500,TE
360,BrandonPettigrew,4500,TE
368,GavinEscobar,4500,TE
374,BlakeBell,4500,TE
375,JeffHeuerman,4500,TE
381,AlexBayer,4500,TE
386,LoganPaulsen,4500,TE
389,DeonButler,4500,TE
390,TreyBurton,4500,TE
391,GarrettCelek,4500,TE
393,BlakeAnnen,4500,TE
394,EricFrohnapfel,4500,TE
398,CliveWalford,4500,TE
399,LukeWillson,4500,TE
413,JamesOShaughnessy,4500,TE
414,NickBoyle,4500,TE
416,CJUzomah,4500,TE
420,JamesCasey,4500,TE
422,ChrisGragg,4500,TE
430,KyleMiller,4500,TE
432,BrianParker,4500,TE
434,BrianLeonhardt,4500,TE
436,ErnstBrunJr,4500,TE
440,JimDray,4500,TE
447,BrandonBostick,4500,TE
448,TylerKroft,4500,TE
452,JohnPhillips,4500,TE
455,TimWright,4500,TE
456,DanielFells,4500,TE
460,DavidPaulson,4500,TE
464,TaylorSloat,4500,TE
468,AnthonyEzeakunne,4500,TE
471,DanLight,4500,TE
472,BrandonMyers,4500,TE
473,JamesHanna,4500,TE
476,LevineToilolo,4500,TE
480,ChaseCoffman,4500,TE
482,EvanRodriguez,4500,TE
488,RichardGordon,4500,TE
491,TroyNiklas,4500,TE
492,JesseJames,4500,TE
498,AdrienRobinson,4500,TE
