,Name,Salary,Position
57,TravisKelce,6400,TE
72,GregOlsen,6300,TE
83,JasonWitten,6000,TE
103,TylerEifert,5700,TE
112,JordanReed,5600,TE
114,LadariusGreen,5600,TE
116,MartellusBennett,5500,TE
136,JaredCook,5400,TE
141,JuliusThomas,5300,TE
144,JermaineGresham,5300,TE
145,DwayneAllen,5200,TE
150,AustinSeferianJenkins,5200,TE
152,LarryDonnell,5200,TE
155,CharlesClay,5200,TE
156,ZachErtz,5200,TE
165,VernonDavis,5100,TE
170,KyleRudolph,5000,TE
171,GaryBarnidge,5000,TE
184,CobyFleener,4900,TE
191,RichardRodgers,4900,TE
197,MychalRivera,4900,TE
218,JoshHill,4800,TE
228,ClayHarbor,4800,TE
229,AndrewQuarless,4800,TE
247,MarcedesLewis,4700,TE
252,JacobTamme,4700,TE
261,LanceKendricks,4600,TE
266,DarrenFells,4600,TE
270,ChaseFord,4600,TE
271,JosephFauria,4600,TE
273,BenjaminWatson,4600,TE
274,OwenDaniels,4600,TE
278,GarrettGraham,4600,TE
282,VirgilGreen,4600,TE
284,DavidJohnson,4500,TE
285,RoryAnderson,4500,TE
287,JoeDonDuncan,4500,TE
294,JusticeCunningham,4500,TE
295,CoryHarkey,4500,TE
306,MarQueisGray,4500,TE
307,DerekCarrier,4500,TE
315,RobHousler,4500,TE
320,LukeStocker,4500,TE
321,CameronBrate,4500,TE
330,GavinEscobar,4500,TE
335,BlakeBell,4500,TE
336,JeffHeuerman,4500,TE
342,AlexBayer,4500,TE
346,LoganPaulsen,4500,TE
349,TreyBurton,4500,TE
350,GarrettCelek,4500,TE
352,BlakeAnnen,4500,TE
353,EricFrohnapfel,4500,TE
354,VanceMcDonald,4500,TE
358,CliveWalford,4500,TE
368,EdDickson,4500,TE
370,JamesOShaughnessy,4500,TE
371,MyColePruitt,4500,TE
373,CJUzomah,4500,TE
376,JamesCasey,4500,TE
378,ChrisGragg,4500,TE
385,KyleMiller,4500,TE
386,BrianParker,4500,TE
388,BrianLeonhardt,4500,TE
390,ErnstBrunJr,4500,TE
393,JimDray,4500,TE
395,CJFiedorowicz,4500,TE
401,BrandonBostick,4500,TE
402,TylerKroft,4500,TE
405,JackDoyle,4500,TE
407,JohnPhillips,4500,TE
408,DanielFells,4500,TE
411,DavidPaulson,4500,TE
415,TaylorSloat,4500,TE
417,AnthonyEzeakunne,4500,TE
423,DanLight,4500,TE
424,BrandonMyers,4500,TE
425,JamesHanna,4500,TE
429,LevineToilolo,4500,TE
433,BrentCelek,4500,TE
435,EvanRodriguez,4500,TE
440,RichardGordon,4500,TE
441,TroyNiklas,4500,TE
447,AdrienRobinson,4500,TE
448,RhettEllison,4500,TE
