,Name,Salary,Position
19,RobGronkowski,8100,TE
70,GregOlsen,6400,TE
81,TravisKelce,6000,TE
86,GaryBarnidge,5900,TE
94,AntonioGates,5800,TE
107,JasonWitten,5600,TE
118,JordanCameron,5500,TE
121,DelanieWalker,5500,TE
129,JordanReed,5400,TE
148,BenjaminWatson,5300,TE
152,HeathMiller,5200,TE
163,AustinSeferianJenkins,5200,TE
165,LarryDonnell,5200,TE
167,JaredCook,5200,TE
171,CobyFleener,5100,TE
174,EricEbron,5100,TE
183,JacobTamme,5100,TE
185,LadariusGreen,5100,TE
187,DwayneAllen,5000,TE
189,KyleRudolph,5000,TE
190,CrockettGillmore,5000,TE
208,AnthonyFasano,5000,TE
209,ZachErtz,5000,TE
214,DerekCarrier,4900,TE
224,ScottChandler,4900,TE
229,MychalRivera,4900,TE
234,DionSims,4900,TE
280,JoshHill,4700,TE
281,CJFiedorowicz,4700,TE
288,BrentCelek,4700,TE
292,MaxxWilliams,4600,TE
293,LanceKendricks,4600,TE
296,JakeStoneburner,4600,TE
297,DarrenFells,4600,TE
303,ChaseFord,4600,TE
304,JosephFauria,4600,TE
305,JeffCumberland,4600,TE
310,GarrettGraham,4600,TE
311,MichaelHoomanawanui,4600,TE
316,DavidJohnson,4500,TE
325,JusticeCunningham,4500,TE
326,CoryHarkey,4500,TE
327,CraigStevens,4500,TE
329,MattSpaeth,4500,TE
344,RobHousler,4500,TE
349,LukeStocker,4500,TE
352,CameronBrate,4500,TE
353,BrandonPettigrew,4500,TE
360,GavinEscobar,4500,TE
369,AlexBayer,4500,TE
372,LoganPaulsen,4500,TE
373,DeonButler,4500,TE
374,TreyBurton,4500,TE
376,EricFrohnapfel,4500,TE
380,BrandonWilliams,4500,TE
381,CliveWalford,4500,TE
386,JermaineGresham,4500,TE
390,EdDickson,4500,TE
393,JamesOShaughnessy,4500,TE
394,NickBoyle,4500,TE
395,MyColePruitt,4500,TE
404,KellenDavis,4500,TE
405,KyleMiller,4500,TE
406,BrianParker,4500,TE
407,BrianLeonhardt,4500,TE
409,ErnstBrunJr,4500,TE
412,JimDray,4500,TE
416,BrandonBostick,4500,TE
419,JackDoyle,4500,TE
421,JohnPhillips,4500,TE
424,TimWright,4500,TE
425,DanielFells,4500,TE
429,DavidPaulson,4500,TE
435,TaylorSloat,4500,TE
438,AnthonyEzeakunne,4500,TE
443,BrandonMyers,4500,TE
444,JamesHanna,4500,TE
446,LevineToilolo,4500,TE
448,ChaseCoffman,4500,TE
450,EvanRodriguez,4500,TE
456,TroyNiklas,4500,TE
457,JesseJames,4500,TE
460,RhettEllison,4500,TE
