,Name,Salary,Position
0,AaronRodgers,9300,QB
3,DrewBrees,8900,QB
6,MattRyan,8700,QB
8,RussellWilson,8500,QB
9,TonyRomo,8500,QB
11,BenRoethlisberger,8400,QB
14,TomBrady,8300,QB
19,PhilipRivers,8200,QB
26,JoeFlacco,8100,QB
28,RyanTannehill,8000,QB
30,EliManning,8000,QB
31,ColinKaepernick,7800,QB
33,CarsonPalmer,7800,QB
34,MatthewStafford,7700,QB
35,CamNewton,7700,QB
38,SamBradford,7500,QB
41,MarcusMariota,7400,QB
47,JayCutler,7200,QB
48,RobertGriffinIII,7100,QB
52,TeddyBridgewater,7000,QB
55,AndyDalton,6900,QB
57,JimmyGaroppolo,6800,QB
67,JameisWinston,6600,QB
68,RyanMallett,6500,QB
69,JohnnyManziel,6500,QB
74,NickFoles,6500,QB
80,MarkSanchez,6400,QB
82,MattCassel,6400,QB
84,BrianHoyer,6300,QB
87,TyrodTaylor,6300,QB
92,EJManuel,6200,QB
96,DerekCarr,6100,QB
99,BlakeBortles,6100,QB
102,MichaelVick,6000,QB
108,JoshMcCown,5900,QB
109,ChadHenne,5900,QB
121,KirkCousins,5700,QB
123,ZachMettenberger,5600,QB
126,BrandonWeeden,5500,QB
127,RyanNassib,5500,QB
132,MattMcGloin,5500,QB
135,AustinDavis,5400,QB
136,BlaineGabbert,5400,QB
141,MattMoore,5400,QB
155,JimmyClausen,5300,QB
159,MattSchaub,5300,QB
163,ChristianPonder,5200,QB
170,DerekAnderson,5200,QB
171,DanOrlovsky,5200,QB
173,LukeMcCown,5200,QB
174,TarvarisJackson,5200,QB
177,KellenClemens,5200,QB
180,DrewStanton,5200,QB
191,MikeGlennon,5100,QB
192,AJMcCarron,5100,QB
193,ScottTolzien,5100,QB
196,ShaunHill,5100,QB
202,TJYates,5100,QB
208,TimTebow,5000,QB
219,RyanLindley,5000,QB
243,DavidFales,4800,QB
244,LoganThomas,4800,QB
245,MattBarkley,4800,QB
247,GarrettGrayson,4800,QB
249,SeanMannion,4800,QB
250,CaseKeenum,4800,QB
253,DustinVaughan,4800,QB
257,SeanRenfree,4800,QB
258,ColtMcCoy,4800,QB
264,ChandlerHarnish,4800,QB
265,ThaddeusLewis,4800,QB
266,BrettHundley,4800,QB
271,JoeWebb,4800,QB
