,Name,Salary,Position
0,AntonioBrown,9300,WR
3,JulioJones,9000,WR
12,DemaryiusThomas,8400,WR
16,CalvinJohnson,8200,WR
17,RandallCobb,8200,WR
20,EmmanuelSanders,8100,WR
24,AJGreen,8000,WR
28,DeAndreHopkins,7800,WR
32,JulianEdelman,7700,WR
34,KeenanAllen,7600,WR
35,JarvisLandry,7600,WR
37,TYHilton,7600,WR
38,AlshonJeffery,7500,WR
41,MikeEvans,7400,WR
42,BrandonMarshall,7400,WR
47,VincentJackson,7200,WR
52,JordanMatthews,7100,WR
53,SteveSmith,7100,WR
54,BrandinCooks,7000,WR
59,AmariCooper,6900,WR
63,GoldenTate,6800,WR
64,SammyWatkins,6800,WR
65,AndreJohnson,6800,WR
68,LarryFitzgerald,6700,WR
71,AnquanBoldin,6600,WR
74,AllenRobinson,6600,WR
79,JeremyMaclin,6500,WR
82,TerranceWilliams,6500,WR
89,TorreySmith,6400,WR
90,DavanteAdams,6400,WR
101,RoddyWhite,6100,WR
104,DonteMoncrief,6000,WR
107,JohnBrown,6000,WR
110,EricDecker,6000,WR
112,MichaelCrabtree,6000,WR
113,DougBaldwin,6000,WR
117,KendallWright,5900,WR
118,SteveJohnson,5900,WR
124,MikeWallace,5800,WR
126,LeonardHankerson,5700,WR
128,JamesJones,5700,WR
130,RishardMatthews,5700,WR
135,KamarAiken,5600,WR
138,PercyHarvin,5600,WR
140,TravisBenjamin,5600,WR
146,KennyBritt,5400,WR
156,ColeBeasley,5400,WR
159,JermaineKearse,5400,WR
164,RobertWoods,5300,WR
165,NelsonAgholor,5300,WR
166,MarquesColston,5300,WR
168,NateWashington,5300,WR
173,TavonAustin,5300,WR
179,MalcomFloyd,5300,WR
183,DarriusHeywardBey,5300,WR
185,MichaelFloyd,5200,WR
186,TedGinnJr,5200,WR
189,BreshadPerriman,5200,WR
191,MarkusWheaton,5200,WR
192,CecilShorts,5200,WR
193,DwayneBowe,5200,WR
194,KennyStills,5200,WR
198,AndreHolmes,5200,WR
200,PhillipDorsett,5200,WR
201,CharlesJohnson,5200,WR
210,BrianQuick,5100,WR
214,JaelenStrong,5100,WR
216,AllenHurns,5100,WR
221,BrandonColeman,5100,WR
222,LouisMurphy,5100,WR
223,JariusWright,5100,WR
225,AaronDobson,5000,WR
236,MarvinJones,5000,WR
238,DorialGreenBeckham,5000,WR
241,TylerLockett,5000,WR
247,RannellHall,4900,WR
250,DeVanteParker,4900,WR
253,MalcomeKennedy,4900,WR
273,HarryDouglas,4800,WR
276,MilesAustin,4800,WR
277,CoreyPhillyBrown,4800,WR
291,HakeemNicks,4800,WR
296,MohamedSanu,4800,WR
299,MarqiseLee,4700,WR
300,JustinHardy,4700,WR
302,StedmanBailey,4700,WR
304,ChrisOwusu,4700,WR
305,WillieSnead,4700,WR
307,BriceButler,4700,WR
308,JoshBellamy,4700,WR
314,CordarrellePatterson,4700,WR
315,DevinStreet,4700,WR
317,TyMontgomery,4700,WR
322,RileyCooper,4700,WR
323,DevinFunchess,4700,WR
324,JerrichoCotchery,4700,WR
326,RashadGreene,4700,WR
328,EddieRoyal,4700,WR
334,DevinSmith,4600,WR
