,Name,Salary,Position
1,AaronRodgers,9200,QB
2,AndrewLuck,9100,QB
8,MattRyan,8400,QB
9,DrewBrees,8400,QB
10,CamNewton,8300,QB
13,PeytonManning,8200,QB
14,CarsonPalmer,8200,QB
19,EliManning,7800,QB
23,AndyDalton,7600,QB
26,TyrodTaylor,7600,QB
27,ColinKaepernick,7500,QB
32,PhilipRivers,7400,QB
37,JayCutler,7200,QB
39,SamBradford,7100,QB
41,DerekCarr,7000,QB
47,BlakeBortles,6800,QB
51,TeddyBridgewater,6500,QB
55,AlexSmith,6500,QB
58,BrandonWeeden,6400,QB
62,JohnnyManziel,6400,QB
65,JoshMcCown,6400,QB
66,JameisWinston,6400,QB
70,RyanMallett,6300,QB
73,BrianHoyer,6300,QB
75,NickFoles,6300,QB
80,MarkSanchez,6100,QB
81,KirkCousins,6100,QB
89,MattCassel,6000,QB
96,ChadHenne,5900,QB
101,LukeMcCown,5800,QB
104,JimmyClausen,5700,QB
107,BrockOsweiler,5600,QB
109,RobertGriffinIII,5600,QB
117,RyanNassib,5500,QB
121,EJManuel,5500,QB
122,MattMcGloin,5500,QB
123,ChaseDaniel,5400,QB
127,AustinDavis,5400,QB
128,BlaineGabbert,5400,QB
146,ChristianPonder,5200,QB
148,DerekAnderson,5200,QB
153,KellenClemens,5200,QB
154,DrewStanton,5200,QB
159,MikeGlennon,5100,QB
160,AJMcCarron,5100,QB
162,ScottTolzien,5100,QB
164,ShaunHill,5100,QB
167,TJYates,5100,QB
174,TimTebow,5000,QB
179,ThaddeusLewis,5000,QB
200,RyanGriffin,4800,QB
201,DavidFales,4800,QB
202,MattBarkley,4800,QB
203,GarrettGrayson,4800,QB
204,SeanMannion,4800,QB
206,CaseKeenum,4800,QB
207,AaronMurray,4800,QB
208,DustinVaughan,4800,QB
211,SeanRenfree,4800,QB
213,ColtMcCoy,4800,QB
220,MattHasselbeck,4800,QB
221,TylerBray,4800,QB
225,ChandlerHarnish,4800,QB
226,BrettHundley,4800,QB
230,JoeWebb,4800,QB
