,Name,Salary,Position
4,LeVeonBell,8400,RB
9,DevontaFreeman,7900,RB
13,AdrianPeterson,7600,RB
15,ArianFoster,7500,RB
25,DionLewis,6500,RB
27,DeMarcoMurray,6400,RB
31,MarkIngram,6300,RB
35,JustinForsett,6100,RB
37,LataviusMurray,6100,RB
38,ChrisIvory,5800,RB
44,JosephRandle,5500,RB
103,ToddGurley,5000,RB
104,FrankGore,4900,RB
106,DougMartin,4900,RB
109,LeGarretteBlount,4800,RB
111,DannyWoodhead,4600,RB
112,LamarMiller,4600,RB
119,ChrisJohnson,4300,RB
121,ShaneVereen,4300,RB
122,AndreEllington,4300,RB
129,MelvinGordon,4200,RB
130,DukeJohnsonJr,4200,RB
132,CharcandrickWest,4200,RB
133,RashadJennings,4000,RB
134,JonathanStewart,4000,RB
135,KnileDavis,4000,RB
136,AmeerAbdullah,4000,RB
138,DarrenSproles,3800,RB
139,IsaiahCrowell,3800,RB
145,CharlesSims,3600,RB
146,TreMason,3600,RB
147,TevinColeman,3600,RB
151,DavidJohnson,3500,RB
152,JavoriusAllen,3500,RB
155,TheoRiddick,3400,RB
157,BishopSankey,3400,RB
162,CJSpiller,3300,RB
163,AlfredMorris,3300,RB
166,BilalPowell,3300,RB
167,BennyCunningham,3300,RB
168,ChrisThompson,3300,RB
169,AlfredBlue,3300,RB
170,AntonioAndrews,3300,RB
172,DeAngeloWilliams,3200,RB
173,DexterMcCluster,3200,RB
174,RyanMathews,3200,RB
181,MattJones,3200,RB
185,DarrenMcFadden,3100,RB
187,JoiqueBell,3100,RB
195,TylerClutts,3000,RB
200,AhmadBradshaw,3000,RB
201,MikeTolbert,3000,RB
205,DarrelYoung,3000,RB
208,DonaldBrown,3000,RB
209,JorvorskieLane,3000,RB
210,ShaunDraughn,3000,RB
211,MarcelReece,3000,RB
216,ChaseReynolds,3000,RB
218,FozzyWhittaker,3000,RB
219,MattAsiata,3000,RB
220,TaiwanJones,3000,RB
226,AnthonySherman,3000,RB
227,RobertTurbin,3000,RB
228,WillJohnson,3000,RB
229,BobbyRainey,3000,RB
230,RoyHeluJr,3000,RB
231,PatrickDiMarco,3000,RB
232,AustinJohnson,3000,RB
233,ChrisPolk,3000,RB
234,KenjonBarner,3000,RB
236,ZachLine,3000,RB
240,JonathanGrimes,3000,RB
246,JordanTodman,3000,RB
248,BrandonBolden,3000,RB
249,JonasGray,3000,RB
251,ZurlonTipton,3000,RB
252,TommyBohanon,3000,RB
255,NikitaWhitlock,3000,RB
256,KyleJuszczyk,3000,RB
257,StepfanTaylor,3000,RB
258,ZacStacy,3000,RB
259,BrandenOliver,3000,RB
261,BrandonWegher,3000,RB
263,ChristineMichael,3000,RB
269,SpencerWare,3000,RB
273,JayProsch,3000,RB
274,JalstonFowler,3000,RB
276,OrleansDarkwa,3000,RB
277,RooseveltNix,3000,RB
279,MarcusMurphy,3000,RB
280,AndreWilliams,3000,RB
281,RodSmith,3000,RB
283,MalcolmJohnson,3000,RB
284,JamesWhite,3000,RB
286,MichaelBurton,3000,RB
295,JamizeOlawale,3000,RB
296,JerickMcKinnon,3000,RB
298,ZachZenner,3000,RB
299,TerrenceMagee,3000,RB
300,TerronWard,3000,RB
303,TerranceWest,3000,RB
311,RaheemMostert,3000,RB
312,JoshRobinson,3000,RB
316,DamienWilliams,3000,RB
318,CameronArtisPayne,3000,RB
322,KhiryRobinson,3000,RB
