,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
86,KyleJuszczyk,3.45735454766,2.06380936807,-5.2872550794,-6.42598517845,0.0,9.0,,,,169.0,88,83,5
85,BrianLeonard,3.55801373726,1.94109148438,-5.18659588981,-6.54870306214,,,,,,,87,84,3
82,BrandonBolden,3.68244545365,1.92691896961,-5.06216417341,-6.56287557691,0.0,4.0,,,304.0,256.0,84,85,-1
88,ChristineMichael,3.35986070867,1.86608548016,-5.3847489184,-6.62370906636,0.0,9.0,218.0,,203.0,263.0,44,86,-42
78,BruceMiller,4.22789376583,1.59011787358,-4.51671586124,-6.89967667294,0.0,10.0,,,,171.0,80,87,-7
84,MichaelCox,3.5653393612,1.5012863203,-5.17927026587,-6.98850822622,,,,,,,86,88,-2
92,RonnieBrown,3.09129319043,1.45001158327,-5.65331643663,-7.03978296325,,,,,,,93,89,4
89,JackieBattle,3.30109889225,1.33859542992,-5.44351073482,-7.1511991166,,,,,,,90,90,0
98,MikeJames,2.84426096092,1.22375182216,-5.90034866614,-7.26604272436,,,,,,,99,91,8
87,CyrusGray,3.3689748602,1.12906192999,-5.37563476687,-7.36073261653,,,,,,,89,92,-3
96,CedricPeerman,2.85564758939,0.98630960751,-5.88896203767,-7.50348493901,,,,,,,97,93,4
95,ShaunDraughn,2.97658075737,0.973209883468,-5.76802886969,-7.51658466305,,,,,,,96,94,2
93,JohnConner,3.06011069118,0.955075429543,-5.68449893588,-7.53471911698,,,,,,,94,95,-1
91,AlfonsoSmith,3.11678888068,0.942852765146,-5.62782074638,-7.54694178137,,,,,,,92,96,-4
97,JohnKuhn,2.84573522857,0.850958568966,-5.89887439849,-7.63883597755,0.0,7.0,,,,177.0,98,97,1
102,JedCollins,2.51409377321,0.810958087241,-6.23051585386,-7.67883645928,,,,,,,103,98,5
94,AnthonySherman,3.02751508303,0.804311992005,-5.71709454403,-7.68548255451,,,,,,,95,99,-4
99,FrankSummers,2.77454871413,0.75203224131,-5.97006091293,-7.73776230521,,,,,,,100,100,0
100,ErikLorig,2.71700949528,0.694719922489,-6.02760013178,-7.79507462403,0.0,11.0,,,,166.0,101,101,0
90,EdwinBaker,3.24123594626,0.561284896266,-5.5033736808,-7.92850965025,,,,,,,91,102,-11
101,TylerClutts,2.6420701337,0.447192047927,-6.10253949336,-8.04260249859,0.0,6.0,,,,401.0,102,103,-1
106,WillJohnson,2.15797623307,0.408636799519,-6.58663339399,-8.081157747,,,,,,,107,104,3
104,LaMichaelJames,2.24811850622,0.190791283573,-6.49649112085,-8.29900326295,,,,,,,105,105,0
105,HenryHynoski,2.2273705462,0.088516060365,-6.51723908087,-8.40127848615,0.0,11.0,,,,182.0,106,106,0
103,JeromeFelton,2.32249410213,0.0313549856651,-6.42211552494,-8.45843956085,,,,,,,104,107,-3
