,Name,Projection,Salary,Position,DPP
0,MattRyan,18.202,6700.0,QB,368.091418525
1,CarsonPalmer,17.8785,6600.0,QB,369.15848645
2,RyanTannehill,17.6925,,,
3,AaronRodgers,17.6305,7900.0,QB,448.087121749
4,RussellWilson,17.532,6900.0,QB,393.56605065
5,BenRoethlisberger,17.353,7200.0,QB,414.91384775
6,CamNewton,17.031,,,
7,DrewBrees,16.9085,7200.0,QB,425.821332466
8,EliManning,16.5795,6800.0,QB,410.145058657
9,TomBrady,16.521,7800.0,QB,472.126384601
10,SamBradford,16.294,6000.0,QB,368.233705659
11,TonyRomo,15.663,,,
12,PeytonManning,15.5065,7000.0,QB,451.423596556
13,AlexSmith,15.469,5500.0,QB,355.549809296
14,ColinKaepernick,15.265,5200.0,QB,340.648542417
15,AndrewLuck,15.1105,,,
16,JoeFlacco,14.9735,5600.0,QB,373.994056166
17,DerekCarr,14.7615,5500.0,QB,372.590861362
18,AndyDalton,14.5775,5700.0,QB,391.013548276
19,TeddyBridgewater,14.3875,,,
20,PhilipRivers,14.277,6200.0,QB,434.26490159
21,NickFoles,14.058,5200.0,QB,369.896144544
22,MatthewStafford,14.041,5400.0,QB,384.587992308
23,TyrodTaylor,13.86,5800.0,QB,418.47041847
24,BlakeBortles,13.504,5100.0,QB,377.665876777
25,RyanFitzpatrick,13.156,,,
26,KirkCousins,13.134,5300.0,QB,403.532815593
27,JayCutler,13.052,5300.0,QB,406.06803555
28,BrianHoyer,11.398,,,
29,BrandonWeeden,9.413,5100.0,QB,541.80388824
30,JimmyClausen,7.2095,5000.0,QB,693.529370969
31,JoshMcCown,6.3165,5100.0,QB,807.409166469
32,MichaelVick,3.6685,,,
33,MarcusMariota,,6000.0,QB,
34,RobertGriffinIII,,5200.0,QB,
35,MikeVick,,5100.0,QB,
36,JameisWinston,,5100.0,QB,
37,MattCassel,,5000.0,QB,
38,CharlieWhitehurst,,5000.0,QB,
39,TarvarisJackson,,5000.0,QB,
40,DanOrlovsky,,5000.0,QB,
41,KellenClemens,,5000.0,QB,
42,DrewStanton,,5000.0,QB,
43,MattSchaub,,5000.0,QB,
44,LukeMcCown,,5000.0,QB,
45,ChadHenne,,5000.0,QB,
46,MarkSanchez,,5000.0,QB,
47,ChaseDaniel,,5000.0,QB,
48,ColtMcCoy,,5000.0,QB,
49,ScottTolzien,,5000.0,QB,
50,ThaddeusLewis,,5000.0,QB,
51,CaseKeenum,,5000.0,QB,
52,KellenMoore,,5000.0,QB,
53,AustinDavis,,5000.0,QB,
54,LandryJones,,5000.0,QB,
55,EJManuel,,5000.0,QB,
56,BlaineGabbert,,5000.0,QB,
57,SeanRenfree,,5000.0,QB,
58,MikeGlennon,,5000.0,QB,
59,RyanNassib,,5000.0,QB,
60,RyanGriffin,,5000.0,QB,
61,MattMcGloin,,5000.0,QB,
62,MattBarkley,,5000.0,QB,
63,ZachMettenberger,,5000.0,QB,
64,AaronMurray,,5000.0,QB,
65,BrockOsweiler,,5000.0,QB,
66,AJMcCarron,,5000.0,QB,
67,DavidFales,,5000.0,QB,
68,GarrettGrayson,,5000.0,QB,
69,TrevorSiemian,,5000.0,QB,
70,JimmyGaroppolo,,5000.0,QB,
71,SeanMannion,,5000.0,QB,
72,BrettHundley,,5000.0,QB,
73,JohnnyManziel,,5000.0,QB,
