,Name,Projection,Salary,Position,DPP
0,RobGronkowski,15.2845,7500,TE,490.693185907
1,MartellusBennett,11.2175,5000,TE,445.732114999
2,JimmyGraham,10.4645,6100,TE,582.923216589
3,ZachErtz,9.3435,2900,TE,310.376197356
4,TravisKelce,9.1575,5200,TE,567.840567841
5,DelanieWalker,9.0805,3800,TE,418.479158637
6,TylerEifert,8.9745,4600,TE,512.563374004
7,JordanReed,8.541,4500,TE,526.870389884
8,JasonWitten,8.46,4500,TE,531.914893617
9,HeathMiller,8.4065,3300,TE,392.553381312
10,JaredCook,8.2715,3000,TE,362.69116847
11,CharlesClay,8.1765,4100,TE,501.43704519
12,MychalRivera,7.2405,2500,TE,345.280022098
13,LukeWillson,7.0335,2500,TE,355.441814175
14,AustinSeferianJenkins,6.872,3600,TE,523.864959255
15,JermaineGresham,6.793,2500,TE,368.025909024
16,EricEbron,6.357,3700,TE,582.035551361
17,OwenDaniels,6.242,2700,TE,432.553668696
18,AnthonyFasano,6.049,2500,TE,413.291453133
19,LadariusGreen,6.0155,3200,TE,531.959105644
20,JacobTamme,5.9285,2500,TE,421.691827612
21,RichardRodgers,5.5285,2900,TE,524.554580809
22,LarryDonnell,5.3245,2900,TE,544.652080008
23,BrentCelek,5.1135,2500,TE,488.901926274
24,ScottChandler,5.0735,2500,TE,492.756479748
25,VernonDavis,5.063,3000,TE,592.534070709
26,ZachMiller,4.9845,2500,TE,501.554819942
27,LanceKendricks,4.7925,2500,TE,521.648408972
28,GaryBarnidge,4.782,3800,TE,794.646591384
29,LevineToilolo,4.457,2500,TE,560.915413956
30,CraigStevens,4.261,2500,TE,586.716733161
31,GavinEscobar,4.2575,2500,TE,587.199060482
32,DanielFells,4.0405,2500,TE,618.735305037
33,LeeSmith,3.6835,2500,TE,678.702321162
34,JimDray,3.406,2500,TE,733.998825602
35,VirgilGreen,3.3555,2500,TE,745.045447772
36,MatthewMulligan,3.3475,2500,TE,746.825989544
37,VanceMcDonald,2.518,2500,TE,992.85146942
